,date_game,game_location,opp_id,game_result,pts,opp_pts,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,x,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,game_ref,opp_name,season,school_id
0,2020-11-25,N,east-tennessee-state,W,70,47,20,49,.408,13,23,.565,17,27,.630,6,30,14,8,3,15,21,,15,51,.294,3,21,.143,14,17,.824,11,38,5,6,2,22,26,/cbb/boxscores/2020-11-25-11-abilene-christian.html,ETSU,2021,abilene-christian
1,2020-11-27,N,austin-peay,W,80,72,29,53,.547,5,9,.556,17,29,.586,5,25,12,12,1,15,18,,27,59,.458,5,17,.294,13,16,.813,11,32,12,2,1,18,23,/cbb/boxscores/2020-11-27-14-austin-peay.html,Austin Peay,2021,abilene-christian
2,2020-11-28,N,nebraska-omaha,W,70,58,26,58,.448,6,12,.500,12,20,.600,10,32,15,9,0,14,14,,23,52,.442,2,14,.143,10,13,.769,5,30,11,9,2,23,21,/cbb/boxscores/2020-11-28-11-nebraska-omaha.html,Omaha,2021,abilene-christian
3,2020-12-01,,,W,81,51,30,70,.429,9,33,.273,12,21,.571,17,45,19,14,4,19,16,,17,50,.340,6,19,.316,11,15,.733,5,27,9,4,3,29,21,/cbb/boxscores/2020-12-01-20-abilene-christian.html,Howard Payne,2021,abilene-christian
4,2020-12-05,,tarleton-state,W,69,48,23,56,.411,9,27,.333,14,22,.636,10,29,15,10,2,14,21,,15,35,.429,1,8,.125,17,29,.586,5,30,5,10,4,28,25,/cbb/boxscores/2020-12-05-20-abilene-christian.html,Tarleton State,2021,abilene-christian
5,2020-12-09,@,texas-tech,L,44,51,16,45,.356,6,18,.333,6,9,.667,3,23,6,8,3,20,31,,12,43,.279,2,15,.133,25,37,.676,11,28,7,9,6,16,16,/cbb/boxscores/2020-12-09-19-texas-tech.html,Texas Tech,2021,abilene-christian
6,2020-12-12,,,W,83,46,31,71,.437,8,31,.258,13,22,.591,15,41,20,14,2,10,19,,19,53,.358,7,22,.318,1,8,.125,9,34,8,4,4,26,24,/cbb/boxscores/2020-12-12-14-abilene-christian.html,McMurry,2021,abilene-christian
7,2020-12-16,,,W,95,73,32,68,.471,4,17,.235,27,43,.628,16,37,16,13,4,11,18,,27,57,.474,7,16,.438,12,15,.800,6,31,13,3,3,25,29,/cbb/boxscores/2020-12-16-20-abilene-christian.html,Hardin-Simmons,2021,abilene-christian
8,2020-12-22,@,arkansas,L,72,85,29,61,.475,5,22,.227,9,15,.600,8,25,13,3,4,12,19,,26,59,.441,9,25,.360,24,30,.800,12,36,15,6,5,13,18,/cbb/boxscores/2020-12-22-17-arkansas.html,Arkansas,2021,abilene-christian
9,2020-12-29,,,W,82,44,31,61,.508,6,29,.207,14,23,.609,10,41,18,12,5,13,16,,15,49,.306,10,22,.455,4,9,.444,5,23,8,5,0,25,22,/cbb/boxscores/2020-12-29-20-abilene-christian.html,Dallas Christian,2021,abilene-christian
10,2021-01-02,,lamar,W,83,65,30,69,.435,9,20,.450,14,21,.667,15,38,21,11,3,13,23,,21,51,.412,4,20,.200,19,24,.792,7,29,11,3,6,18,20,/cbb/boxscores/2021-01-02-16-abilene-christian.html,Lamar,2021,abilene-christian
11,2021-01-06,@,houston-baptist,W,66,63,27,65,.415,3,22,.136,9,11,.818,13,40,17,6,3,13,20,,20,51,.392,6,19,.316,17,22,.773,3,26,8,6,9,15,20,/cbb/boxscores/2021-01-06-20-houston-baptist.html,Houston Baptist,2021,abilene-christian
12,2021-01-16,,southeastern-louisiana,W,76,42,24,54,.444,9,24,.375,19,27,.704,9,31,21,16,5,14,26,,11,36,.306,4,15,.267,16,28,.571,5,28,6,8,5,29,28,/cbb/boxscores/2021-01-16-16-abilene-christian.html,Southeastern Louisiana,2021,abilene-christian
13,2021-01-20,@,sam-houston-state,L,57,64,23,61,.377,3,19,.158,8,15,.533,11,29,21,6,3,11,20,,21,53,.396,6,17,.353,16,26,.615,15,44,12,5,3,16,17,/cbb/boxscores/2021-01-20-21-sam-houston-state.html,Sam Houston State,2021,abilene-christian
14,2021-01-23,,central-arkansas,W,93,58,34,64,.531,12,31,.387,13,18,.722,8,31,29,11,6,12,18,,21,54,.389,4,14,.286,12,16,.750,8,30,6,6,1,24,23,/cbb/boxscores/2021-01-23-16-abilene-christian.html,Central Arkansas,2021,abilene-christian
15,2021-01-27,,stephen-f-austin,W,82,62,26,63,.413,6,24,.250,24,29,.828,12,36,12,7,5,11,19,,23,54,.426,2,8,.250,14,25,.560,13,41,10,8,5,22,25,/cbb/boxscores/2021-01-27-20-abilene-christian.html,Stephen F. Austin,2021,abilene-christian
16,2021-01-30,@,incarnate-word,W,75,67,25,52,.481,6,23,.261,19,25,.760,12,38,17,2,1,12,17,,21,53,.396,12,29,.414,13,17,.765,4,20,15,7,0,8,20,/cbb/boxscores/2021-01-30-15-incarnate-word.html,Incarnate Word,2021,abilene-christian
17,2021-02-06,@,lamar,W,77,62,30,61,.492,11,22,.500,6,12,.500,9,30,20,11,2,7,14,,22,45,.489,10,12,.833,8,15,.533,7,31,11,4,4,17,15,/cbb/boxscores/2021-02-06-17-lamar.html,Lamar,2021,abilene-christian
18,2021-02-08,@,texas-am-corpus-christi,W,82,69,31,60,.517,6,15,.400,14,21,.667,10,30,20,8,3,8,16,,23,49,.469,5,13,.385,18,20,.900,5,27,11,2,1,16,18,/cbb/boxscores/2021-02-08-20-texas-am-corpus-christi.html,Texas A&M-Corpus Christi,2021,abilene-christian
19,2021-02-10,,houston-baptist,W,88,59,33,71,.465,13,28,.464,9,18,.500,17,40,26,18,4,19,22,,20,56,.357,4,21,.190,15,23,.652,10,33,11,14,6,24,17,/cbb/boxscores/2021-02-10-20-abilene-christian.html,Houston Baptist,2021,abilene-christian
20,2021-02-13,,texas-am-corpus-christi,W,83,55,27,56,.482,7,26,.269,22,27,.815,5,30,19,13,6,13,24,,15,51,.294,3,14,.214,22,30,.733,7,31,7,6,2,23,21,/cbb/boxscores/2021-02-13-17-abilene-christian.html,Texas A&M-Corpus Christi,2021,abilene-christian
21,2021-02-24,,sam-houston-state,W,86,72,29,57,.509,10,19,.526,18,22,.818,8,28,21,6,3,14,12,,29,60,.483,5,20,.250,9,11,.818,6,25,14,9,4,12,20,/cbb/boxscores/2021-02-24-20-abilene-christian.html,Sam Houston State,2021,abilene-christian
22,2021-02-27,@,central-arkansas,L,82,84,28,62,.452,12,23,.522,14,22,.636,6,31,23,9,1,11,25,,28,55,.509,7,19,.368,21,33,.636,9,37,16,5,4,13,19,/cbb/boxscores/2021-02-27-18-central-arkansas.html,Central Arkansas,2021,abilene-christian
23,2021-03-03,@,stephen-f-austin,W,63,61,22,45,.489,4,13,.308,15,26,.577,7,25,13,4,1,22,30,,18,41,.439,2,15,.133,23,35,.657,3,22,7,15,1,15,21,/cbb/boxscores/2021-03-03-21-stephen-f-austin.html,Stephen F. Austin,2021,abilene-christian
24,2021-03-06,,incarnate-word,W,85,60,30,68,.441,12,33,.364,13,14,.929,13,42,22,14,5,13,18,,19,53,.358,10,24,.417,12,16,.750,5,27,14,7,2,18,11,/cbb/boxscores/2021-03-06-16-abilene-christian.html,Incarnate Word,2021,abilene-christian
25,2021-03-12,N,lamar,W,93,71,34,64,.531,9,21,.429,16,21,.762,11,32,22,11,2,10,12,,29,56,.518,7,15,.467,6,8,.750,5,23,9,6,8,16,17,/cbb/boxscores/2021-03-12-21-abilene-christian.html,Lamar,2021,abilene-christian
26,2021-03-13,N,nicholls-state,W,79,45,29,64,.453,11,22,.500,10,11,.909,13,51,19,12,3,16,15,,19,64,.297,4,27,.148,3,11,.273,12,32,8,10,6,15,12,/cbb/boxscores/2021-03-13-21-nicholls-state.html,Nicholls State,2021,abilene-christian
0,2020-11-28,N,cal-state-northridge,W,66,61,21,48,.438,11,25,.440,13,19,.684,3,28,14,5,2,13,17,,20,55,.364,7,29,.241,14,18,.778,6,31,7,6,0,10,16,/cbb/boxscores/2020-11-28-16-air-force.html,Cal State Northridge,2021,air-force
1,2020-11-29,N,seattle,L,45,63,16,40,.400,6,20,.300,7,8,.875,4,22,9,2,0,14,15,,24,57,.421,11,29,.379,4,6,.667,6,24,16,4,3,5,13,/cbb/boxscores/2020-11-29-15-air-force.html,Seattle,2021,air-force
2,2020-12-05,,lamar,W,59,44,21,41,.512,9,21,.429,8,11,.727,1,28,16,9,4,15,16,,16,50,.320,1,6,.167,11,16,.688,5,26,3,9,3,12,15,/cbb/boxscores/2020-12-05-15-air-force.html,Lamar,2021,air-force
3,2020-12-13,@,drake,L,53,81,17,49,.347,4,18,.222,15,20,.750,3,18,5,10,0,12,12,,31,55,.564,10,24,.417,9,14,.643,10,37,16,7,2,13,19,/cbb/boxscores/2020-12-13-14-drake.html,Drake,2021,air-force
4,2020-12-18,@,nevada,L,57,74,19,46,.413,6,17,.353,13,23,.565,4,20,14,10,1,15,20,,24,47,.511,8,21,.381,18,27,.667,8,36,18,6,3,18,25,/cbb/boxscores/2020-12-18-22-nevada.html,Nevada,2021,air-force
5,2020-12-20,@,nevada,W,68,66,23,47,.489,6,19,.316,16,18,.889,4,23,16,9,1,13,19,,23,54,.426,2,24,.083,18,26,.692,11,31,14,6,2,16,19,/cbb/boxscores/2020-12-20-18-nevada.html,Nevada,2021,air-force
6,2020-12-31,,utah-state,L,48,83,17,36,.472,5,19,.263,9,14,.643,5,19,12,3,2,24,11,,34,65,.523,12,30,.400,3,6,.500,15,31,24,11,1,8,21,/cbb/boxscores/2020-12-31-16-air-force.html,Utah State,2021,air-force
7,2021-01-02,,utah-state,L,53,72,19,47,.404,5,14,.357,10,12,.833,4,19,8,9,3,16,15,,30,55,.545,7,19,.368,5,10,.500,12,36,15,7,7,18,15,/cbb/boxscores/2021-01-02-18-air-force.html,Utah State,2021,air-force
8,2021-01-06,@,boise-state,L,59,78,23,49,.469,5,21,.238,8,12,.667,2,19,10,6,1,14,15,,26,54,.481,10,22,.455,16,18,.889,6,31,18,8,2,14,15,/cbb/boxscores/2021-01-06-23-boise-state.html,Boise State,2021,air-force
9,2021-01-08,@,boise-state,L,69,80,24,45,.533,9,20,.450,12,13,.923,2,19,11,2,2,12,18,,31,59,.525,7,17,.412,11,17,.647,11,29,13,6,3,6,18,/cbb/boxscores/2021-01-08-20-boise-state.html,Boise State,2021,air-force
10,2021-01-16,,wyoming,W,72,69,28,53,.528,8,20,.400,8,13,.615,4,22,15,11,3,7,10,,27,51,.529,10,27,.370,5,12,.417,8,32,13,2,2,15,14,/cbb/boxscores/2021-01-16-16-air-force.html,Wyoming,2021,air-force
11,2021-01-18,,wyoming,L,58,77,23,46,.500,1,12,.083,11,19,.579,5,26,13,5,3,11,16,,25,51,.490,16,32,.500,11,16,.688,6,30,15,4,1,11,22,/cbb/boxscores/2021-01-18-21-air-force.html,Wyoming,2021,air-force
12,2021-01-22,,san-diego-state,L,61,98,22,40,.550,9,21,.429,8,13,.615,2,15,13,9,1,23,19,,36,66,.545,13,29,.448,13,24,.542,17,34,27,15,1,16,18,/cbb/boxscores/2021-01-22-21-air-force.html,San Diego State,2021,air-force
13,2021-01-24,,san-diego-state,L,59,91,21,45,.467,8,21,.381,9,16,.563,2,17,16,6,2,11,20,,31,60,.517,16,30,.533,13,18,.722,14,40,21,4,3,12,18,/cbb/boxscores/2021-01-24-22-air-force.html,San Diego State,2021,air-force
14,2021-01-28,@,san-jose-state,L,58,59,22,54,.407,8,29,.276,6,10,.600,7,26,7,9,4,11,12,,24,48,.500,6,20,.300,5,10,.500,7,31,6,7,0,14,12,/cbb/boxscores/2021-01-28-21-san-jose-state.html,San Jose State,2021,air-force
15,2021-01-30,@,san-jose-state,L,62,75,25,61,.410,11,37,.297,1,4,.250,4,26,17,3,3,6,16,,27,52,.519,9,24,.375,12,18,.667,5,35,19,3,1,11,11,/cbb/boxscores/2021-01-30-18-san-jose-state.html,San Jose State,2021,air-force
16,2021-02-06,@,nevada-las-vegas,L,58,68,20,46,.435,15,32,.469,3,7,.429,4,19,15,3,1,12,16,,27,49,.551,2,14,.143,12,15,.800,8,29,14,7,1,9,13,/cbb/boxscores/2021-02-06-16-nevada-las-vegas.html,UNLV,2021,air-force
17,2021-02-08,@,nevada-las-vegas,L,64,69,24,48,.500,9,21,.429,7,9,.778,2,17,16,5,3,8,18,,25,45,.556,9,16,.563,10,15,.667,6,26,13,2,5,12,16,/cbb/boxscores/2021-02-08-21-nevada-las-vegas.html,UNLV,2021,air-force
18,2021-02-11,,fresno-state,L,63,69,16,40,.400,11,26,.423,20,23,.870,3,13,13,11,3,14,22,,21,35,.600,6,12,.500,21,27,.778,6,26,9,5,1,20,20,/cbb/boxscores/2021-02-11-21-air-force.html,Fresno State,2021,air-force
19,2021-02-13,,fresno-state,L,64,67,22,46,.478,6,18,.333,14,19,.737,5,24,8,7,4,11,21,,23,50,.460,2,9,.222,19,28,.679,13,34,7,6,0,10,19,/cbb/boxscores/2021-02-13-15-air-force.html,Fresno State,2021,air-force
20,2021-02-22,,new-mexico,L,65,73,23,54,.426,6,24,.250,13,19,.684,6,19,14,12,2,11,16,,30,51,.588,2,9,.222,11,16,.688,9,35,22,7,2,16,12,/cbb/boxscores/2021-02-22-21-air-force.html,New Mexico,2021,air-force
21,2021-02-24,,new-mexico,W,62,55,22,52,.423,4,13,.308,14,20,.700,4,28,14,10,5,12,16,,20,50,.400,5,20,.250,10,18,.556,9,35,10,4,3,21,20,/cbb/boxscores/2021-02-24-18-air-force.html,New Mexico,2021,air-force
