,school,city_state,from,to,yrs,g,w,l,w-l%,srs,sos,ap,creg,ctrn,ncaa,ff,nc,school_id
0,Abilene Christian Wildcats,"Abilene, Texas",1971,2021,11,305,157,148,.515,-9.30,-6.41,0,0,1,1,0,0,abilene-christian
1,Air Force Falcons,"USAF Academy, Colorado",1958,2021,63,1711,744,967,.435,-2.81,1.29,0,1,0,4,0,0,air-force
2,Akron Zips,"Akron, Ohio",1902,2021,70,1598,946,652,.592,0.12,-1.21,0,9,4,4,0,0,akron
3,Alabama A&M Bulldogs,"Normal, Alabama",2000,2021,22,612,234,378,.382,-16.23,-10.92,0,1,1,1,0,0,alabama-am
4,Alabama Crimson Tide,"Tuscaloosa, Alabama",1913,2021,108,2766,1700,1065,.615,7.38,4.63,15,10,7,21,0,0,alabama
5,Alabama State Hornets,"Montgomery, Alabama",1983,2021,39,1129,540,589,.478,-13.37,-10.07,0,4,4,4,0,0,alabama-state
6,Alabama-Birmingham Blazers,"Birmingham, Alabama",1980,2021,42,1328,827,501,.623,6.51,2.30,2,7,5,15,0,0,alabama-birmingham
7,Albany (NY) Great Danes,"Albany, New York",2000,2021,22,663,327,336,.493,-6.77,-5.96,0,2,5,5,0,0,albany-ny
8,Alcorn State Braves,"Alcorn State, Mississippi",1978,2021,44,1280,552,728,.431,-13.79,-8.37,0,10,6,6,0,0,alcorn-state
9,Allegheny Gators,"Meadville, Pennsylvania",1896,1916,21,234,191,41,.823,,,0,0,0,,,,allegheny
10,American Eagles,"Washington, D.C.",1967,2021,55,1533,755,778,.492,-5.55,-3.79,0,7,3,3,0,0,american
11,Amherst Lord Jeffs,"Amherst, Massachusetts",1901,1902,2,12,12,0,1.000,,,0,0,0,,,,amherst
12,Appalachian State Mountaineers,"Boone, North Carolina",1974,2021,48,1396,682,714,.489,-5.87,-3.28,0,10,2,2,0,0,appalachian-state
13,Arizona State Sun Devils,"Tempe, Arizona",1912,2021,106,2577,1372,1205,.532,4.95,3.92,7,8,0,16,0,0,arizona-state
14,Arizona Wildcats,"Tucson, Arizona",1905,2021,114,2764,1817,946,.658,9.00,4.96,27,24,7,35,4,1,arizona
15,Arkansas Razorbacks,"Fayetteville, Arkansas",1924,2021,98,2685,1717,968,.639,7.69,3.01,16,26,7,32,6,1,arkansas
16,Arkansas State Red Wolves,"State University, Arkansas",1971,2021,51,1461,746,715,.511,-3.88,-3.02,0,7,1,1,0,0,arkansas-state
17,Arkansas-Pine Bluff Golden Lions,"Pine Bluff, Arkansas",1999,2021,23,677,201,476,.297,-19.59,-8.01,0,0,1,1,0,0,arkansas-pine-bluff
18,Armstrong Pirates,"Savannah, Georgia",1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0,armstrong
19,Army Black Knights,"West Point, New York",1903,2021,119,2523,1255,1268,.497,-8.97,-4.44,0,0,0,0,0,0,army
20,Auburn Tigers,"Auburn, Alabama",1906,2021,115,2609,1395,1213,.535,5.57,4.16,8,4,2,10,1,0,auburn
21,Augusta State Jaguars,"Augusta, Georgia",1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0,augusta-state
22,Augustana (IL) Vikings,"Rock Island, Illinois",1902,1917,12,116,81,35,.698,,,0,0,0,,,,augustana-il
23,Austin Peay Governors,"Clarksville, Tennessee",1964,2021,58,1650,830,820,.503,-5.51,-3.40,1,8,5,7,0,0,austin-peay
24,Baker University Wildcats,"Baldwin City, Kansas",1903,1908,6,90,62,28,.689,,,0,0,0,,,,baker-university
25,Baldwin-Wallace Yellow Jackets,"Berea, Ohio",1948,1953,6,139,82,57,.590,-4.45,1.84,0,0,0,0,0,0,baldwin-wallace
