,team_1_code,team_1_rank,team_1_score,team_2_code,team_2_rank,team_2_score,round,region,year
0,wake-forest,1,79,north-carolina-at,16,47,1,east,1995
1,minnesota,8,61,saint-louis,9,64,1,east,1995
2,alabama,5,91,pennsylvania,12,85,1,east,1995
3,oklahoma-state,4,73,drexel,13,49,1,east,1995
4,tulsa,6,68,illinois,11,62,1,east,1995
5,villanova,3,81,old-dominion,14,89,1,east,1995
6,charlotte,7,68,stanford,10,70,1,east,1995
7,massachusetts,2,68,saint-peters,15,51,1,east,1995
8,wake-forest,1,64,saint-louis,9,59,2,east,1995
9,alabama,5,52,oklahoma-state,4,66,2,east,1995
10,tulsa,6,64,old-dominion,14,52,2,east,1995
11,stanford,10,53,massachusetts,2,75,2,east,1995
12,wake-forest,1,66,oklahoma-state,4,71,3,east,1995
13,tulsa,6,51,massachusetts,2,76,3,east,1995
14,oklahoma-state,4,68,massachusetts,2,54,4,east,1995
15,kansas,1,82,colgate,16,68,1,midwest,1995
16,western-kentucky,8,82,michigan,9,76,1,midwest,1995
17,arizona,5,62,miami-oh,12,71,1,midwest,1995
18,virginia,4,96,nicholls-state,13,72,1,midwest,1995
19,memphis,6,77,louisville,11,56,1,midwest,1995
20,purdue,3,49,green-bay,14,48,1,midwest,1995
21,syracuse,7,96,southern-illinois,10,92,1,midwest,1995
22,arkansas,2,79,texas-southern,15,78,1,midwest,1995
23,kansas,1,75,western-kentucky,8,70,2,midwest,1995
24,miami-oh,12,54,virginia,4,60,2,midwest,1995
25,memphis,6,75,purdue,3,73,2,midwest,1995
26,syracuse,7,94,arkansas,2,96,2,midwest,1995
27,kansas,1,58,virginia,4,67,3,midwest,1995
28,memphis,6,91,arkansas,2,96,3,midwest,1995
29,virginia,4,61,arkansas,2,68,4,midwest,1995
30,kentucky,1,113,mount-st-marys,16,67,1,southeast,1995
31,brigham-young,8,70,tulane,9,76,1,southeast,1995
32,arizona-state,5,81,ball-state,12,66,1,southeast,1995
33,oklahoma,4,67,manhattan,13,77,1,southeast,1995
34,georgetown,6,68,xavier,11,63,1,southeast,1995
35,michigan-state,3,72,weber-state,14,79,1,southeast,1995
